ms,sm_util_pct,mem_util_pct,cpu_util_pct,vram_used_mb,pcie_rx_kbs,pcie_tx_kbs
54487.342,2,0,4.8,8570.798,221700,18100
54578.640,2,0,2.9,8570.798,373150,46700
54670.002,2,0,4.8,8570.798,113900,39700
54801.836,7,0,2.2,8570.798,322200,50
54973.857,7,0,1.9,8570.798,50,50
55145.889,3,0,0.6,8570.798,50,50
55338.391,0,0,0.0,8570.798,50,150
55653.299,0,0,3.4,8570.798,50,50
55946.990,0,0,0.1,8570.798,50,50
56078.719,0,0,0.4,8570.798,50,50
56271.773,0,0,0.1,8570.798,50,50
56443.965,0,0,0.2,8570.798,1250,50
56555.761,0,0,0.1,8570.798,50,50
56667.497,0,0,0.1,8570.798,50,50
57063.720,0,0,0.0,8570.798,50,50
57155.142,0,0,2.4,8570.798,850400,920550
57246.732,0,0,1.7,8570.798,1529600,484000
57338.361,30,1,4.9,8570.798,740900,2213150
57429.992,30,1,4.0,8570.798,612000,829300
57521.402,38,1,2.5,8570.798,221550,526750
57612.916,37,1,3.5,8570.798,728250,1647850
57705.319,37,1,1.5,8570.798,2030150,1857350
57796.879,30,1,5.8,8570.798,13900,1766650
57888.409,30,1,5.0,8570.798,85750,78950
57980.006,24,1,4.3,8570.798,138850,349000
58071.289,24,1,2.7,8570.798,775500,573700
58162.899,33,0,5.0,8570.798,219400,754050
58254.346,33,0,6.1,8570.798,521300,457850
58345.705,19,1,7.3,8570.798,84350,28750
58448.265,43,1,4.9,8570.798,140300,481600
58539.854,43,1,4.9,8570.798,97950,515050
58631.369,35,0,3.3,8570.798,437600,2299650
58722.914,35,0,5.6,8570.798,2172050,1766500
58814.226,35,1,4.7,8570.798,12100,103250
58905.702,35,1,2.2,8570.798,37100,725900
58997.394,18,1,3.3,8570.798,187200,1179550
59089.071,18,1,3.9,8570.798,160900,1233850
59180.973,24,1,7.4,8570.798,44550,44850
59272.478,24,1,7.7,8570.798,57900,525350
59363.858,20,0,7.8,8570.798,3389800,264100
59455.119,20,1,5.4,8570.798,14200,624650
59546.747,20,1,6.3,8570.798,45900,10900
59638.085,9,1,5.6,8570.798,93900,115350
59729.463,9,1,2.3,8570.798,89100,33650
59820.989,13,4,3.5,8570.798,46900,81450
59912.623,13,4,1.9,8570.798,195900,360650
60004.277,23,0,3.9,8570.798,139400,695150
60097.240,23,0,4.5,8570.798,41500,2350
60188.409,20,1,3.2,8570.798,212950,31200
60279.631,20,1,2.4,8570.798,8400,2800
60370.851,10,2,1.9,8570.798,3250,66050
60462.308,5,1,3.5,8570.798,9350,282450
60553.789,5,1,3.2,8570.798,4650,134400
60645.462,6,1,3.0,8570.798,7100,30900
60736.831,6,1,7.2,8570.798,2550,173250
60828.301,7,2,3.2,8570.798,600,241200
60919.723,7,2,3.8,8570.798,5750,184000
61011.239,4,0,8.5,8570.798,50,100
61122.797,4,0,15.2,8570.798,4600,1300
61214.151,3,0,1.6,8570.798,10400,1400
61305.591,5,2,2.0,8570.798,700,300
61397.153,5,2,4.5,8570.798,10450,3350
61488.818,8,1,2.1,8570.798,304250,9650
61580.087,8,1,1.6,8570.798,445550,668800
61671.406,20,2,3.4,8570.798,844550,75800
61762.743,20,2,2.6,8570.798,15150,2600
61853.935,38,6,1.8,8570.798,12950,17650
61945.920,38,6,2.1,8570.798,10950,2650
62037.256,10,2,1.9,8570.798,12350,3200
62128.804,8,1,1.7,8570.798,18000,3700
62220.123,8,1,2.0,8570.798,13350,2750
62311.461,8,1,1.5,8570.798,195750,2250
62402.876,8,1,1.7,8570.798,10850,18900
62494.213,10,2,1.8,8570.798,74700,124300
62585.589,10,2,1.8,8570.798,86850,74400
62677.322,11,1,2.1,8570.798,55950,42100
62768.601,11,1,2.0,8570.798,39050,6550
62860.290,9,2,2.5,8570.798,4550,30550
62952.484,9,2,4.5,8570.798,33500,139550
63044.069,8,0,3.1,8570.798,9300,2150
63135.653,8,1,3.5,8570.798,21150,30650
63226.981,8,1,3.3,8570.798,8800,67050
63318.655,8,2,3.2,8570.798,3700,1650
63430.003,8,2,2.6,8570.798,3050,90600
63521.333,4,1,2.8,8570.798,100,450
63613.010,4,1,2.0,8570.798,9800,2650
63704.690,6,2,2.6,8570.798,223750,50900
63796.014,23,4,2.3,8570.798,583250,8300
63887.507,23,4,2.1,8570.798,19100,8050
63978.862,19,5,1.9,8570.798,19100,25300
64070.157,19,5,2.6,8570.798,11100,2131450
64161.360,23,3,9.1,8570.798,5500,1600
64252.955,23,3,4.0,8570.798,16100,2700
64344.318,27,1,3.0,8570.798,7500,20900
64435.920,27,1,3.7,8570.798,8100,42750
64527.609,4,0,3.7,8570.798,579250,64800
64620.449,4,0,3.7,8570.798,218750,52900
64711.919,6,0,19.3,8570.798,775250,24500
64803.295,8,0,7.6,8570.798,2900,12100
64894.737,8,0,1.7,8570.798,45200,33750
64986.327,17,0,5.4,8570.798,103750,55000
65077.632,17,0,2.2,8570.798,12650,228550
65169.026,16,0,2.0,8570.798,291100,76200
65260.909,16,0,1.5,8570.798,795250,90000
65352.195,12,1,1.9,8570.798,21200,47300
65443.730,12,1,1.9,8570.798,208600,3350
65535.380,14,1,2.1,8570.798,20600,3300
65626.796,14,1,2.1,8570.798,114100,2950
65718.073,9,1,1.8,8570.798,205550,2850
65809.939,9,1,1.9,8570.798,6400,35100
65901.795,9,1,2.5,8570.798,11800,1950
65993.313,7,0,2.5,8570.798,8200,6700
66084.707,7,0,3.3,8570.798,11250,99500
66176.038,8,0,3.9,8570.798,9700,2600
66267.576,8,0,3.2,8570.798,8600,213650
66359.283,7,0,3.6,8570.798,124500,151000
66452.249,7,0,2.7,8570.798,12900,3100
66543.630,8,1,2.8,8570.798,10700,2650
66634.835,8,1,1.8,8570.798,202550,91050
66726.139,6,0,2.7,8570.798,9400,2200
66817.591,6,0,2.1,8570.798,83300,4850
66909.058,6,0,2.5,8570.798,35350,23350
67000.347,21,0,1.9,8570.798,19350,552350
67091.716,21,0,2.0,8570.798,296150,9550
67183.069,28,1,2.1,8570.798,14300,4050
67274.276,28,1,1.8,8570.798,15200,4300
67365.510,12,1,1.7,8570.798,15350,3750
67456.838,12,1,1.9,8570.798,10850,3700
67548.184,10,1,1.9,8570.798,15200,3150
67639.514,10,1,1.8,8570.798,12350,25250
67730.875,8,0,1.6,8570.798,8100,2700
67822.047,7,0,1.8,8570.798,8650,2300
67913.189,7,0,1.6,8570.798,9100,2600
68004.447,5,0,2.0,8570.798,7900,2750
68095.779,5,0,1.7,8570.798,9800,2650
68187.081,6,0,1.6,8570.798,10250,3250
68278.732,6,0,1.6,8570.798,7250,2750
